LAT	LON
5.314176	111.888069
4.724896	113.10422
5.620278	114.897222
3.604532	112.363969
5.011637	105.290766
4.742472	113.743889
4.740681	113.738556
4.738681	113.730987
4.744159	113.731363
4.739556	113.728306
4.549722	113.620556
4.688333	113.858333
4.675785	113.854404
4.306038	112.700573
5.616667	114.883333
5.616667	114.883333
5.608333	114.875
5.378181	111.864306
3.444778	112.387778
4.746389	113.742778
4.738999	113.727964
4.7475	113.759167
4.749722	113.756389
4.730861	113.746556
4.745645	113.745755
4.753333	113.736944
4.75	113.75
4.75	113.75
5.619056	114.88625
5.635861	114.895333
5.604194	114.873639
5.622603	114.892189
5.616667	114.883333
5.606361	114.879333
5.599194	114.875322
5.618889	114.886667
5.616667	114.883333
5.616667	114.883333
5.616667	114.883333
5.616667	114.883333
4.748889	104.896944
3.764398	112.065873
3.776528	112.090528
6.36	115.303333
4.964963	111.928265
4.334336	112.678294
3.438056	112.373889
3.763521	112.065668
3.763889	112.063889
3.75	112.0625
5.616667	114.991667
4.413472	113.725556
4.422361	113.723694
4.420278	113.717222
4.417778	113.717917
4.402778	113.722778
4.4125	113.723611
4.413889	113.726389
4.416111	113.7225
4.416589	113.721931
3.438056	112.373889
3.437892	112.377447
3.464806	112.445667
3.451944	112.347972
3.433333	112.366667
3.606633	112.410427
3.612764	112.378889
4.739167	113.727778
4.405556	113.718611
5.500278	105.195833
4.679806	113.887194
4.134038	112.356342
4.333097	112.682748
4.327094	112.685922
5.081956	111.75348
4.704444	113.943333
4.704444	113.943333
5.501944	105.211111
4.638611	112.301389
4.633333	112.3
4.633333	112.3
4.636133	112.306428
4.332681	112.677744
4.333941	112.682371
4.332799	112.68171
4.329946	112.686509
4.333889	112.679167
4.333889	112.678889
4.687208	112.489806
4.6875	112.490278
4.683333	112.494167
4.688056	112.490833
5.000178	105.209069
5.000075	105.249956
5.000411	105.250488
5	105.258333
5.002778	105.251389
4.298056	113.802778
4.701372	113.941483
4.694167	112.768611
3.4375	112.373889
4.878333	104.775
5.210117	104.727306
3.850089	112.074753
4.642549	113.620455
4.94817	112.528399
5.550247	114.983364
4.702194	113.938347
5.524962	114.971096
5.314176	111.888069
4.73	113.187778
6.209722	105.03
3.793556	112.041944
6.365	103.842269
3.783333	112.033333
5.230833	111.811528
5.241944	104.671944
5.141667	104.788333
5.826667	114.340278
5.531413	104.988145
4.45	111.72
4.414222	111.79
4.39	111.96
4.78	112.27
4.73	112.24
5.619167	114.886111
5.636111	114.895278
5.599167	114.875278
6.124886	105.288275
5.954437	104.204083
5.955215	104.191466
6.179226	104.074975
6.325583	104.022716
5.955069	104.191431
4.686465	112.495454
4.843253	112.39519
4.73	104.885
4.606667	104.808333
4.306772	112.7288
5.208307	104.670588
5.607869	103.905231
5.609011	103.906164
3.802361	112.299722
4.501514	111.639914
4.229889	111.898829
4.738778	113.729348
4.707175	113.724717
4.707772	113.72709
6.286666	105.016375
6.123259	105.035417
4.439834	112.727046
4.412847	112.691973
4.303253	112.631416
4.332908	112.678788
5.785878	114.334415
4.531944	112.098889
5.816669	104.183333
